"ID","Référence tesson","Forme","Origine","Type","Catégorie","Decor","Analyse","Secteur","Lieu","Contexte Stratigraphie","Stratigraphie US","Date US","Datation","Photo","profil","Publication","secteur_ID","x","y"
"MdE82.0904.0219","Maison de l'École 82 0904 0219","Lékanè","Thasien","THAS. 3  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_18_e","BLONDÉ, BCH 109 (1985), cat. 280",98,24.713688134,40.779061124
"MdE82.0904.0613","Maison de l'École 82 0904 0613","Lékanè","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_17_j","BLONDÉ, BCH 109 (1985), cat. 274",98,24.713688134,40.779061124
"MdE82.0904.0642","Maison de l'École 82 0904 0642","Lékanè","Thasien","THAS. 2  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_18_b","BLONDÉ, BCH 109 (1985), cat. 277",98,24.713688134,40.779061124
"MdE82.0904.0195","Maison de l'École 82 0904 0195","Lékanè","Thasien","THAS. 4  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_17_g","BLONDÉ, BCH 109 (1985), cat. 271",98,24.713688134,40.779061124
"MdE82.0905.0066","Maison de l'École 82 0905 0066","Lékanè","Thasien","THAS. 4  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_17_d","BLONDÉ, BCH 109 (1985), cat. 268",98,24.713688134,40.779061124
"MdE82.0904.0065","Maison de l'École 82 0904 0065","Lékanè","Thasien","THAS. 4  ","C","A4",,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C","N388_025","np_12271_17_a","BLONDÉ, BCH 109 (1985), cat. 265",98,24.713688134,40.779061124
"MdE82.0905.0067","Maison de l'École 82 0905 0067","Lékanè","Thasien","THAS. 4  ","C","A4",,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_16_f","BLONDÉ, BCH 109 (1985), cat. 262",98,24.713688134,40.779061124
"MdE82.0905.0094","Maison de l'École 82 0905 0094","Lékanè","Thasien","THAS. 1? ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_16_c","BLONDÉ, BCH 109 (1985), cat. 259",98,24.713688134,40.779061124
"MdE82.0905.0099","Maison de l'École 82 0905 0099","Bol-lékanè","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_15_h","BLONDÉ, BCH 109 (1985), cat. 256",98,24.713688134,40.779061124
"MdE82.0905.0096","Maison de l'École 82 0905 0096","Bol-lékanè","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_15_e","BLONDÉ, BCH 109 (1985), cat. 253",98,24.713688134,40.779061124
"MdE82.0904.0372","Maison de l'École 82 0904 0372","Bol-lékanè","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C","N388_026","np_12271_15_b","BLONDÉ, BCH 109 (1985), cat. 250",98,24.713688134,40.779061124
"MdE82.0904.0594","Maison de l'École 82 0904 0594","Coupe à vasque","Thasien","THAS. ?  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_14_g","BLONDÉ, BCH 109 (1985), cat. 247",98,24.713688134,40.779061124
"MdE82.0905.0019","Maison de l'École 82 0905 0019","Assiette à fond épais","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_12_q","BLONDÉ, BCH 109 (1985), cat. 231",98,24.713688134,40.779061124
"MdE82.0904.0434","Maison de l'École 82 0904 0434","Coupe perforée à","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_14_a","BLONDÉ, BCH 109 (1985), cat. 241",98,24.713688134,40.779061124
"MdE82.0905.0011","Maison de l'École 82 0905 0011","Assiette à fond épais","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C","N388_027","np_12271_12_c","BLONDÉ, BCH 109 (1985), cat. 225",98,24.713688134,40.779061124
"MdE82.0905.0024","Maison de l'École 82 0905 0024","Assiette à fond épais","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_12_k","BLONDÉ, BCH 109 (1985), cat. 219",98,24.713688134,40.779061124
"MdE82.0904.0431","Maison de l'École 82 0904 0431","Passoire à fond","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_13_c","BLONDÉ, BCH 109 (1985), cat. 235",98,24.713688134,40.779061124
"MdE82.0904.0108","Maison de l'École 82 0904 0108","Assiette à fond épais","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_12_h","BLONDÉ, BCH 109 (1985), cat. 230",98,24.713688134,40.779061124
"MdE82.0904.0080","Maison de l'École 82 0904 0080","Lampe","Thasien","THAS. 2  ","V",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C","N388_028","np_12271_11_m","BLONDÉ, BCH 109 (1985), cat. 215",98,24.713688134,40.779061124
"MdE82.0905.0025","Maison de l'École 82 0905 0025","Assiette à fond épais","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_12_e","BLONDÉ, BCH 109 (1985), cat. 224",98,24.713688134,40.779061124
"MdE82.0904.0095","Maison de l'École 82 0904 0095","Lampe","Thasien","THAS. 1.1","En",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_11_j","BLONDÉ, BCH 109 (1985), cat. 212",98,24.713688134,40.779061124
"MdE82.0904.0100","Maison de l'École 82 0904 0100","Assiette à fond épais","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_12_b","BLONDÉ, BCH 109 (1985), cat. 218",98,24.713688134,40.779061124
"MdE82.0905.0079","Maison de l'École 82 0905 0079","Cruche","Thasien","THAS. 1C ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_11_d","BLONDÉ, BCH 109 (1985), cat. 207",98,24.713688134,40.779061124
"MdE82.0904.0458+0381","Maison de l'École 82 0904 0458 + 0381","Bol",,"? ?     N Non-","V",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_11_a","BLONDÉ, BCH 109 (1985), cat. 203",98,24.713688134,40.779061124
"MdE82.0904.0392","Maison de l'École 82 0904 0392","Coupe sans anses","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_10_f","BLONDÉ, BCH 109 (1985), cat. 191",98,24.713688134,40.779061124
"MdE82.0904.0622","Maison de l'École 82 0904 0622","Vase à paroi interne","Thasien","THAS. 2  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_19_h(i) +","BLONDÉ, BCH 109 (1985), cat. 294",98,24.713688134,40.779061124
"MdE82.0904.0121","Maison de l'École 82 0904 0121","Caccabè","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","A2",,"np_12271_21_p","BLONDÉ, BCH 109 (1985), cat. 322",98,24.713688134,40.779061124
"MdE82.0904.0398","Maison de l'École 82 0904 0398","Cruche","Thasien","THAS. 1B ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_21_m","BLONDÉ, BCH 109 (1985), cat. 314",98,24.713688134,40.779061124
"MdE82.0904.0395","Maison de l'École 82 0904 0395","Cruche","Thasien","THAS. 1B ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","A2",,"np_12271_21_g","BLONDÉ, BCH 109 (1985), cat. 312",98,24.713688134,40.779061124
"MdE82.0905.0100","Maison de l'École 82 0905 0100","Lékanè","Thasien","THAS. 1 ?","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 5.","Contexte déposé vers 360.","B - C",,"np_12271_21_d","BLONDÉ, BCH 109 (1985), cat. 307",98,24.713688134,40.779061124
