"ID","Référence tesson","Forme","Origine","Type","Catégorie","Decor","Analyse","Secteur","Lieu","Contexte Stratigraphie","Stratigraphie US","Date US","Datation","Photo","profil","Publication","secteur_ID","x","y"
"PdS71.2665","Porte du Silène 71 2665","Plat","Thasienne","THAS.5","VN",,,"Porte du Silène","Rue du rempart tronçon occidental",,"Fosse contre le rempart s. 57,60,339,352,354 (E1)",,,,,,197,24.712791306,40.774655185
"VAL84.0174.0024[2]","Valma 84 0174 0024 [2]","Coupelle à une anse","Thasienne","THAS. 1","CC",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14848",,51,24.714763980,40.780145908
"PdS74.2128","Porte du Silène 74 2128","Chytra","Thasien",,,,,"Porte du Silène","Ib3",,,,,,"np_19403",,197,24.712791306,40.774655185
"PdS75.0321","Porte du Silène 75 0321","Skyphos","Attique",,,,,"Porte du Silène","Ia4",,,,,,"np_19402",,197,24.712791306,40.774655185
"PdS72.0065bis","Porte du Silène 72 0065 bis","Cruche","Thasienne","THAS. 1B","CC",,"THG108 (altéré)","Porte du Silène","Ia1","3.7","Période 4, phase 2","Deuxième quart","C - D",,"np_12283_07_b","GRANDJEAN 1988, p.",197,24.712791306,40.774655185
"PdS77.2515","Porte du Silène 77 2515","Coupe à une anse","Thasienne","THAS.  2","CC",,,"Porte du Silène","Ib5","4.22","Période 4, phase 2, couche 12","Vie s., surtout Ve s. :","C - D",,"np_11826_b",,197,24.712791306,40.774655185
"PdS74.0593","Porte du Silène 74 0593","Support de marmite","Thasien",,,,,"Porte du Silène","Ia","3.1","Période 3, phase 2, recharges du sol III","Trouvé dans un amas de pierres à fonction drainante sur lequel avait été installé le sol III, au début du Ive s. Cet objet est associé à une céramique qui s'échelonne entre le Vie et la fin du Ve s.",,,"np_11736","GRANDJEAN, BCH 109 (1985), fig. 3 et 4, p. 266-267, cat. 2 ; BLONDÉ, ÉtThas 20, pl. 74, 8.",197,24.712791306,40.774655185
"PdS72.1311","Porte du Silène 72 1311","Canthare",,,,,,"Porte du Silène","Ia1","3.8","Période 4, phase 3, fosse à partir de du sol VI.",,,,"np_11732_b",,197,24.712791306,40.774655185
"PdS72.0158","Porte du Silène 72 0158","Lampe","Thasien",,,,,"Porte du Silène","Ia1","3.10","Période 4, phase 4, sol VIII",,,,"np_11732_a",,197,24.712791306,40.774655185
"PdS72.1295","Porte du Silène 72 1295","Coupe-skyphos","Thasien",,,,,"Porte du Silène","Ib1","4.8**","Période 4, phase 3, sol IK et substrat couche 12",,,,"np_11721",,197,24.712791306,40.774655185
"PdS72.0096","Porte du Silène 72 0096","Bolsal","Attique",,,,,"Porte du Silène","Ia1","3.2 et 3.3","Période 3, phase 2, sol IV et substrat c. 8.","Beaucoup de tessons du Ve s. et de la première moitié du Ive s.",,,"np_11720_b",,197,24.712791306,40.774655185
"PdS72.1235","Porte du Silène 72 1235","Coupe-Skyphos","Attique","ATT.2","VN",,,"Porte du Silène","Ia (ABDE)","3.2","Période 3, phase 2, couche 8, entre sol III et sol I.","Le matériel appartient pour une bonne part au Ve s., mais en assez grande proportion aussi à la première moitié du Ive s.","B - C",,"np_11712_a","GRANDJEAN 1988, p. 91, pl. 37,5.",197,24.712791306,40.774655185
"PdS75.4485","Porte du Silène 75 4485","Coupelle","Attique","ATT. 1","VN",,,"Porte du Silène","Ib1","4.7","Période 4, phase 2,","Du","D",,"np_11707_a",,197,24.712791306,40.774655185
"PdS72.0173","Porte du Silène 72 0173","Skyphos",,,,,,"Porte du Silène","Ia (pièce ABDE)","3.1","Période 3, phase 2, recharges du sol III","Les éléments les plus récents attribuables à la première moitié du Ive s. (sol III : début du Ive s.).",,,"np_11706_b","GRANDJEAN 1988, p. 89, pl. 36.7.",197,24.712791306,40.774655185
"PdS74.0547","Porte du Silène 74 0547","Lampe","Attique",,,,,"Porte du Silène","Ia1","3.1","Période 3, phase 2, substrat du sol du sol III (couche 7)","Les éléments les plus récents attribuables à la première moitié du Ive s.",,"N388_010","np_11705","BLONDÉ, ÉtThas 20, pl. 41, 1.",197,24.712791306,40.774655185
"PdS71.1397","Porte du Silène 71 1397","Lampe","Thasien",,,,,"Porte du Silène","Ia (pièce 1)","3.26","Couche de destruction de la maison.","(Vie, Ve s.), Ive s. et début ou même première moitié du IIIe s.",,,"np_11703","BLONDÉ, ÉtThas 20, pl. 46, 8.",197,24.712791306,40.774655185
"PdS75.4483","Porte du Silène 75 4483","Bolsal","Attique","ATT. 1","VN",,,"Porte du Silène","Ib1","4.7","Période 4, phase 2,","Cf","C - D",,"np_11696_b",,197,24.712791306,40.774655185
"PdS73.3755","Porte du Silène 73 3755","Coupe sans anse",,,,,,"Porte du Silène","Ib (pièce 5)","4.30","Couche de destruction de la maison.","(Vie, Ve s.), Ive s. et début ou même première moitié du IIIe s.",,,"np_10230_m(ii)","GRANDJEAN  1988, p. 193, pl. 63,1",197,24.712791306,40.774655185
"PdS75.2181+2258+","Porte du Silène 75 2181 + 2258 +","Bolsal","Attique","ATT.",,,,"Porte du Silène","Ib7","trouvé en 4.28, mais appartient (cf. tessons jointifs) à la couche 6 : 4.26","Période 4, phase 2, remblai couche 8 (",,,,"np_10230_c(i)","GRANDJEAN  1988, p. 169, pl. 59,8",197,24.712791306,40.774655185
"PdS72.0040","Porte du Silène 72 0040","Canthare",,,,,,"Porte du Silène","la1","3.8","Période 4, phase 3, fosse à partir du sol VI.","De ca 500 à ca 325","E",,,"GRANDJEAN  1988, p. 105, pl. 44, 6.",197,24.712791306,40.774655185
"VAL85.0093.0115","Valma 85 0093 0115","Support ?",,,,,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_15134",,51,24.714763980,40.780145908
"VAL84.0170.0019","Valma 84 0170 0019","Plat","Attique","ATT.5","VN",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_15015","BLONDÉ, BCH 113 (1989) , cat. 16, fig. 5.",51,24.714763980,40.780145908
"VAL84.0227.0026","Valma 84 0227 0026","Plat","Attique","ATT.5","VN",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14940","BLONDÉ, BCH 113 (1989) , cat. 15, fig. 5.",51,24.714763980,40.780145908
"VAL84.0174.0015","Valma 84 0174 0015","Plat","Attique","ATT. 1   ","VN ou FR",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14939","BLONDÉ, BCH 113 (1989) , cat. 85, fig. 10 ; BLONDÉ, ÉtThas 20, pl. 39, 4.",51,24.714763980,40.780145908
"VAL84.0119.0010","Valma 84 0119 0010","Lampe","Attique","ATT.2.6","VN",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14906","BLONDÉ, BCH 113 (1989) , cat. 98, fig. 10 ; BLONDÉ, ÉtThas 20, pl. 44, 15.",51,24.714763980,40.780145908
"VAL84.0170.0027","Valma 84 0170 0027","Lampe","Attique","ATT.1.2","VN",,"THV32","Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14905","BLONDÉ, BCH 113 (1989) , cat. 95, fig. 10",51,24.714763980,40.780145908
"VAL84.0194.0060","Valma 84 0194 0060","Lampe","Attique","ATT.3","VN",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14898","BLONDÉ, BCH 113 (1989) , cat. 99, fig. 10",51,24.714763980,40.780145908
"VAL84.0174.0019","Valma 84 0174 0019","Lampe","Attique","ATT.2.2","VN",,"THV21","Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14897","BLONDÉ, BCH 113 (1989) , cat. 93, fig. 1 ; BLONDÉ, ÉtThas 20, pl. 43, 8.",51,24.714763980,40.780145908
"VAL84.0174.0011","Valma 84 0174 0011","Skyphos","Thasien","THAS. 1","VN",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14891","BLONDÉ, BCH 113 (1989) , cat. 132, fig. 12",51,24.714763980,40.780145908
"VAL84.0235.0050","Valma 84 0235 0050","Coupe-canthare","Attique","ATT.1",,"B6.3","THV14","Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14862","BLONDÉ, BCH 113 (1989) , cat. 66, fig. 9",51,24.714763980,40.780145908
"VAL84.0119.0002","Valma 84 0119 0002","Lampe","Attique","ATT.1.2","VN",,,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D","N388_050","np_14833","BLONDÉ, BCH 113 (1989) , cat. 90, fig. 10 ; BLONDÉ, ÉtThas 20, pl. 41, 3.",51,24.714763980,40.780145908
"VAL84.0194.0061","Valma 84 0194 0061","Lampe","Attique","ATT.2.3",,,"THV20","Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14832","BLONDÉ, BCH 113 (1989) , cat. 90, fig. 10 ; BLONDÉ, ÉtThas 20, pl. 41, 10.",51,24.714763980,40.780145908
"PdS74.1822","Porte du Silène 74 1822","Plat","Attique","ATT. 5   ","V",,,"Porte du Silène","Ib3","4.","Période 4, phase 2,","Matériel peu","C - D",,"np-41262.psd","GRANDJEAN 1988, p. 179",197,24.712791306,40.774655185
"VAL84.0235.0041","Valma 84 0235 0041","Thasien","Thasien",,"C",,"THV43","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14842","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL85.0066.0040","Valma 85 0066 0040","Thasien","Thasien",,"V","A1","THV2","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14908","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0152.0022","Valma 84 0152 0022","Thasien","Thasien",,"V",,"THV3","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14911","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL85.0070.0047","Valma 85 0070 0047","Attique","Attique","ATT. 1","V",,,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14912","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL85.0070.0046","Valma 85 0070 0046","Thasien","Thasien",,"C",,,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14843","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0170.0016","Valma 84 0170 0016","Attique","Attique","ATT. 3","V","B3.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14844","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL85.0093.0078","Valma 85 0093 0078","Thasien","Thasien","1.1","En",,,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C",,"np_14845","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0194.0056","Valma 84 0194 0056","Attique","Attique","ATT. 1A","V","B5.1",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14846","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0135.0010[2]","Valma 84 0135 0010 [2]","Attique","Attique",,"V","B3.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14873","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0264.0051","Valma 84 0264 0051","Attique","Attique",,"V","B4.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14874","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0152.0037","Valma 84 0152 0037","Attique","Attique",,"V","B4.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14875","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0135.0015","Valma 84 0135 0015","Attique","Attique",,"V","B4.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14876","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0170.0028","Valma 84 0170 0028","Attique","Attique",,"V","B4.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14877","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0194.0090","Valma 84 0194 0090","Attique","Attique",,"V","B5.1",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14878","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0264.0055","Valma 84 0264 0055","Attique","Attique",,"V","B4.3","THV36","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14880","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0194.0088","Valma 84 0194 0088","Attique","Attique",,"V","B3.1 ?",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14881",,51,24.714763980,40.780145908
"VAL84.0235.0042","Valma 84 0235 0042","Thasien","Thasien",,"C",,"THV48","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14947","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0227.0035","Valma 84 0227 0035","Thasien","Thasien",,"C",,,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14948","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0174.0017","Valma 84 0174 0017","Thasien","Thasien",,"C",,"THV47","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14957","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0264.0038","Valma 84 0264 0038","Attique","Attique",,"V",,,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14958","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"PdS73.3649","Porte du Silène 73 3649","Support de marmite","Thasien","THAS. 1","C",,,"Porte du Silène","Ib6","4","Période 4, phase 2","Trouvé dans le","B- C -D",,"np_12283_20","GRANDJEAN, BCH 109",197,24.712791306,40.774655185
"VAL84.0235.0039","Valma 84 0235 0039","Salière","Attique"," ATT. 1","V",,,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14828","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0174.0018","Valma 84 0174 0018","Skyphos","Thasien",,"V",,,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14930","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0174.0013","Valma 84 0174 0013","Attique","Attique","ATT. 1","V",,"THV38","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14937","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0174.0010","Valma 84 0174 0010","Thasien","Thasien",,"V",,"THV28","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14920","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL85.0093.0077","Valma 85 0093 0077","Attique","Attique","ATT. 1","V","A1","THV27","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14892","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0235.0022","Valma 84 0235 0022","Attique","Attique","ATT. 4","V","A1","THV25","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14840","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0235.0033","Valma 84 0235 0033","Attique","Attique","ATT. 3","V","B3.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","D",,"np_14839","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"PdS75.6834","Porte du Silène 75 6834","Plat","Attique",,"V","B6.2",,"Porte du Silène","Ia5 et 5bis","3.22","Période 4, phase 1, remblai sous sol I.","Du Vie au Ive s., les éléments les plus récents ne dépassent pas le deuxième quart du Ive s.","C - D",,,"GRANDJEAN 1988, p. 94",197,24.712791306,40.774655185
"VAL84.0253.0022","Valma 84 0253 0022","Attique","Attique",,"V","A1","THV25","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14840","BLONDÉ, BCH 113 [doublon FM ETH20]",51,24.714763980,40.780145908
"VAL84.0191.0019","Valma 84 0191 0019","Attique","Attique",,"V","B6.1",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14884","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"PdS74.2123","Porte du Silène 74 2123","Coupe-skyphos","Attique","ATT. 1","V","A1",,"Porte du Silène","Ib3","4.","Période 4, phase 3,","Matériel abondant,"," B -C   CD","CD 669/48","np_10230_o",,197,24.712791306,40.774655185
"PdS71.1535","Porte du Silène 71 1535","Plat","Thasien",,"Cé",,,"Porte du Silène","Ia, pièce ABDE","3.2","Période 3, phase 2, sol IV et substrat couche 8.","Le matériel appartient pour une bonne part au Ve s., mais avec des tessons et des monnaies de la première moitié du Ive s.","B - C",,"np_11712_c",,197,24.712791306,40.774655185
"PdS72.1289","Porte du Silène 72 1289","Skyphos","Attique",,,,,"Porte du Silène","Ib1","4.","Période 4, phase 3,","Rares tessons, en","A - B",,"np_19352",,197,24.712791306,40.774655185
"PdS72.1345","Porte du Silène 72 1345","Plat","Attique",,"V","B3.2",,"Porte du Silène","Ib2","4.9","Période 4, phase 1, sol VI et son substrat (c. 9)","Contexte pas très caractéristique : les tessons les plus récents sont du deuxième quart du Ive s. ; l'un d'entre eux, le skyphos 72/1343, peut appartenir à la decennie 350-340.","C",,"np_10994_17","GRANDJEAN 1988, p. 181 note  2.",197,24.712791306,40.774655185
"PdS72.1636","Porte du Silène 72 1636","Plat","Attique",,"V","B6.1",,"Porte du Silène","Iia (pièce 2)","(non mentionné dans volume 1).","Couche de destruction de la maison.","Du Vie s. à la première moitié du IIIe s., avec une proportion non négligeable entre 350 et le premier quart du IIIe s., peu au-delà et rien de postérieur au milieu du IIIe s.","E - F",,"np_11700","GRANDJEAN 1988, p. 232, pl. 76, 1. BLONDÉ, ÉtThas 20, pl. 29, 13.",197,24.712791306,40.774655185
"PdS72.1319","Porte du Silène 72 1319","Godet à profil","Attique","C 1C","V","B4.1?",,"Porte du Silène","Ia1","3.","Période 4, phase 3,","De ca 500 à ca","C - D",,"np_11698_b",,197,24.712791306,40.774655185
"PdS74.1081","Porte du Silène 74 1081","Plat","Attique",,"V","B4.2 ?",,"Porte du Silène","Ib (pièce 7)","4.30","Couche de destruction de la maison.","(Vie, Ve s.), Ive s. et début ou même première moitié du IIIe s.","E",,"np_10455_09",,197,24.712791306,40.774655185
"PdS75.0165","Porte du Silène 75 0165","Thasien","Thasien",,"C",,"THG25","Porte du Silène","Ia4","3.","Période 4, phase 3,","Du Vie s. à la","D - E - F",,"np_19339",,197,24.712791306,40.774655185
"PdS75.0123","Porte du Silène 75 0123","Vase de stockage","Thasien",,"C",,"THG29","Porte du Silène","Ia4","3.","Période 4, pièce 4, phase 3, remblai entre sol III et sol IV.","Du Vie s. à la","G",,"np_19398",,197,24.712791306,40.774655185
"PdS71.1390","Porte du Silène 71 1390","Coupe sans anse","Attique","ATT. 2","V","B6.3","THG76","Porte du Silène","Ia (pièce 1)","3.26","Couche de destruction de la maison.","(Vie, Ve s.), Ive s. (et notamment deuxième moitié du Ive) ; les tessons les plus récents ne dépassent pas le milieu du IIIe s.","D - E",,"np_11747_a",,197,24.712791306,40.774655185
"VAL84.0264.0052","Valma 84 0264 0052","Attique","Attique",,"V","B6.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14885","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0227.0030","Valma 84 0227 0030","Attique","Attique",,"V","A1","THV37","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14886","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0142.0028","Valma 84 0142 0028","Attique","Attique",,"V","A1",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14887","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL85.0070.0042","Valma 85 0070 0042","Attique","Attique","B","V","B4.1",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14864","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0235.0049","Valma 84 0235 0049","Attique","Attique",,"V","B1.1",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","A",,"np_14866","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL85.0093.0076","Valma 85 0093 0076","Attique","Attique","ATT.","V","B2.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14867","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0128.0014","Valma 84 0128 0014","Attique","Attique","?","V","B3.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14869","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL85.0070.0020","Valma 85 0070 0020","Attique","Attique","A","V","B3.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14870","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0170.0033","Valma 84 0170 0033","Attique","Attique",,"V","B3.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14871","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0174.0012","Valma 84 0174 0012","Attique","Attique","ATT. 1","V",,"THV24","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14893","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0070.0044","Valma 84 0070 0044","Attique","Attique","ATT. 1","V","A1",,"Valma Puits rond","Puits rond","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14894","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0135.0011","Valma 84 0135 0011","Attique","Attique","A","V",,"THV26","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14853","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0135.050","Valma 84 0135 050","Attique","Attique",,"V","B4.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14856",,51,24.714763980,40.780145908
"VAL84.0194.0059","Valma 84 0194 0059","Thasien","Thasien",,"V",,,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14921","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0264.0033","Valma 84 0264 0033","Thasien","Thasien",,"V",,"THV16","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14922","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0152.0026","Valma 84 0152 0026","Thasien","Thasien",,"V",,,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14923",,51,24.714763980,40.780145908
"VAL84.0119.0023","Valma 84 0119 0023","Coupe-canthare","Attique","ATT.2","V",,"THV18","Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14930","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"VAL84.0170.0020","Valma 84 0170 0020","Attique","Attique","A","V","B3.2",,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14863","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"PdS71.1503+1470+1471","Porte du Silène 71 1503 + 1470 + 1471","Plat","Thasien","THAS. 5 5","VN","A1",,"Porte du Silène","Ia1","3","Période 4, phase 2, couche 10 sous sol VI","Deuxième moitié du Ve s. et première moitié du Ive s.; quelques tessons des années 350-325","B - C","N388-001 et 002","np_41261 et  71-1503.psd"," GRANDJEAN 1988, p. 103",197,24.712791306,40.774655185
"PdS75.6620","Porte du Silène 75 6620","Plat","Attique","ATT. 5   ","V",,,"Porte du Silène","Ia5","3.24","Période 4, phase 1, entre le sol I et le sol II","Du Vie au Ive   s. …","E - F",,"np_41263","GRANDJEAN 1988, p. 94",197,24.712791306,40.774655185
"PdS77.3230","Porte du Silène 77 3230","Plat","Thasien","THAS. 5","V",,,"Porte du Silène","Ia3",,"Période 4, phase 2,","Surtout Vie et Ve s.","D",,"np-41264",,197,24.712791306,40.774655185
"MdE82.0904.0576","Maison de l'École 82 0904 0576","Plat","Attique","ATT. 5   ","VN",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_02_k","BLONDÉ, BCH 109 (1985), cat. 43",98,24.713688134,40.779061124
"PdS72.1294","Porte du Silène 72 1294","Plat","Thasien","THAS. 5  ","Non verni",,,"Porte du Silène","Ib1","4.8","Période 4, phase 3,","Rares tessons, en tout cas pas postérieurs aux années 325-320.","D",,"np_10994_27","GRANDJEAN 1988, p. 184",197,24.712791306,40.774655185
"MdE82.0904.0044","Maison de l'École 82 0904 0044","Plat","Attique","ATT. 5   ","V",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C","N388-048","np_12271_02_m","BLONDÉ, BCH 109 (1985), cat. 44",98,24.713688134,40.779061124
"VAL84.0142.0024","Valma 84 0142 0024","Plat","Attique","ATT. 5   ","V",,,"Valma Puits rond","Puits rond.","2","Comblement du puits.","Contexte déposé vers 330.","C - D",,"np_14938","BLONDÉ, BCH 113",51,24.714763980,40.780145908
"MdE82.0904.0348","Maison de l'École 82 0904 0348","Plat","Thasien","THAS. 3  ","V",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_09_q","BLONDÉ, BCH 109 (1985), cat. 184",98,24.713688134,40.779061124
"PdS74.1785","Porte du Silène 74 1785","Plat","Attique","ATT. 3   ","V",,,"Porte du Silène","Ib3","4.","Période 4, phase 3,","Matériel abondant,","E",,"np-41265.psd","GRANDJEAN  1988, p.",197,24.712791306,40.774655185
"PdS71.1499","Porte du Silène 71 1499","Plat","Thasien","THAS. 1  ","cé",,,"Porte du Silène","Ia1","3.4","Période 4, phase 1, couche 9, remblai du sol V.","Surtout Ve s. (mais aussi Vie s.) plusieurs tessons de la première moitié du Ive","B - C",,"np_11712_b",,197,24.712791306,40.774655185
"PdS71.1497","Porte du Silène 71 1497","Plat","Thasien","THAS. 1 1","cé",,,"Porte du Silène","Ia1","3.4","Période 4, phase 1, couche 9, remblai du sol V.","Surtout Ve s. (mais aussi Vie s.) plusieurs tessons de la première moitié du Ive","B - C",,"np_11713_b",,197,24.712791306,40.774655185
