"ID";"Description"
1253;"Deux fragments de vasque. Ht. max. : 6 mm. Ép. : 6 mm. Couverte beige. À l'intérieur, un filet rouge, flanqué de filets blancs. A 4296 et 4297. Pl. IX. Sur la frise animalière, une patte de félin vers la gauche. Trois filets de séparation, avant une zone de godrons pointés. Suit une bande vernie, flanquée de triples filets. "
1254;"Deux fragments de vasque qui recollent. Ép. : 6 mm. Couverte légère beige. A 4296 et 4297. Pl. IX. L'arrière-train d'un sanglier vers la droite. Le remplissage est classique : languette accrochée au cadre, croix. L'intérieur, en revanche, est original : il porte un décor floral qui renoue avec la mode chiote du décor intérieur au trait blanc, apparaissant sur les vases ouverts, dont des calices chiotes, au début du VI"" s. dans l'atelier créatif de l'« Animal Chalice style» (LÉMOS 1991, p. 89). L'entrelacs des tiges et le contour des sépales des fleurs de lotus sont tracés en beige soutenu, alors que l'intérieur de ce sépale conserve des traces évanescentes de blanc. On mesure l'éclectisme du Peintre passéiste, qui emprunte surtout à l'Ionie du Nord, mais qui ne répugne pas aux coquetteries chiotes. "
1255;"Un fragment. Ht. : 4 cm. Ép. : 6 mm. Couverte légère. À l'intérieur, une bande rouge, flanquée de filets blancs. A 4296 et 4297. Pl. IX. Sur la frise animalière, pattes d'un cervidé vers la gauche. Le remplissage de croix, de croix bouletée, de rosette de points est compact. Suit une bande vernie, rehaussée d'un filet rouge, flanqué de deux filets blancs, plus fins. Vases fermés "
1256;"Sept fragments dont quatre sont recollés et replâtrés. Diam. max. conservé : supérieur à 30 cm. Ép. de la paroi au niveau de l'épaule : 8 mm à peine. Argile orangé chamois, plus rouge par endroit. Couverte beige grise habituelle. Le profil de l'épaule est plat. À l'articulation de l'épaule et du col, une moulure. Profil fig. 5, p. 197. A 4295. Pl. IX. La moulure à la base du col est vernie et rehaussée d'un rouge violacé. Sur le haut de l'épaule, une file de languettes, dont au moins deux, à droite et au centre sont rehaussées de rouge. Un épais filet la sépare de la frise animalière. Un sanglier fait face à un griffon. Du rouge violacé est passé en rehaut sur les encolures des deux animaux, sur la crinière du sanglier ; un point rouge décore également son corps au-dessus de sa patte avant. Le petit fragment non jointif présente le rendu fautif des parties génitales, habituel au peintre. L'aile du griffon est décorée d'écailles rondes comme sur 8 qui offre aussi un parallèle pour les traits verticaux en arrière de J'œil et la volute qui part du crâne. Parce qu'il est le mieux conservé de la série, ce griffon désigne son origine nord-ionienne par le dessin de l'oreille dressée à la verticale, rendue par un trait rouge, et par l'appendice dressé au-dessus de son œiL Le remplissage est sans surprise : svastikas, languette pointée accrochée au cadre du filet, rosette de points au cœur volumineux. La rosette centrale est très proche de celle sur 3, à la différence près que les pétales sont reliés à la périphérie et identique à 4. Un pétale sur deux de la rosette centrale ainsi que le large cœur de la rosette de points qui la surplombe sont rehaussés de rouge. La large bande vernie à la transition de l'épaule et de la panse est rehaussée de filets rouges et blancs. Sur la zone suivante, des godrons pointés. L'extrémité des festons indépendants se confond avec la bande vernie, comme sur 4. La languette de droite est clairement rehaussée de rouge. 65/236, du champ Valma. trois fragments, dont deux collés d'une oinochoé à embouchure trilobée. Diam. du bas du col à la transition avec la panse : 12 cm. Couverte beige Légère. A 4295. L 10594, 20. Il n'est pas du tout exclu qu'il s'agisse du col de l'oinochoé 14. L'embouchure trilobée est vernie. En son centre qui coïncide avec le renfoncement, une bande rouge flanquée de deux filets blancs dessine un arc de cercle. La lèvre vernie est séparée du col par une moulure très fine. Sur le col, des godrons pointés. Celui de gauche conserve la trace nette d'un rehaut rouge. Le feston indépendant s'incurve vers l'extrémité de chaque languette. L'évasement du profil vers la panse est emporté dans la cassure. Ce vase permet d'annexer une nouvelle forme à la production du peintre dont on reconnaît le style au dessin des godrons et à La bande rouge flanquée de filets blancs. Connue dans les ateliers d'Ionie du nord et de Chios, cette forme se retrouve également chez un peintre contemporain de l'atelier thasien, le Peintre chiote. "
1257;"Trente et un fragments d'oinochoé très globulaire (du type Samos VI 1, 907). Diam. max. de la panse : env. 30 cm. Le vernis sur la panthère notamment est très dilué. Profil 6g. 5, p. 197. 41 756. Pl. IX. Sur la panse, un sphinx, dont on voit la queue au toupet incisé, l'aile striée de rémiges incisées, rehaussées de rouge de deux en deux. À la terminaison des rémiges, à l'attache de la bande centrale, une série de demi-cercles incisés, pointés de blanc. Sur la rosette centrale, les rehauts blancs et rouges ne sont plus visibles, mais le vase suivant 58 762 donne un parallèle exact. On trouve aussi une rosette sans pétales, incisée d'un petit cercle pour le cœur et de demi-cercles sur sa périphérie, à la mode atticocorinthienne. Le remplissage de points, parfois incisés d'une croix, est foisonnant. La panthère présente un masque identique à ceux de 8 et de 15. 12. Voir, par exemple, ibid., pl. 114, 938 et p. 115, 939. 13. Voir les deux incisions derrière la patte avant du lion de droite, ibid., pl. 115, 943 et sur Je corps du sanglier du fragment 900. pl. 108. 14. Les exemples nord-ioniens sont très nombreux : ibid., pl. 114, 938; pl. 115, 939, 942, a et b; pl. 116, 944, 952. 15. Voir, par exemple, le remplissage de la frise supérieure de la panse du cratère, traitée en figure noire, ibid., pl. 114, 938. 16. WALTER 1968, p. 80-81. "
1258;"Ht. : 7,7 cm. Ép. : 9 mm. A 4293. Pl. IX. Une rosette énorme de remplissage. Les pétales sont rehaussés d'un pétale rouge plus petit que le pétale verni ou d'un trait blanc. Des incisions notent le cœur et les pétales. Reste du corps d'un animal, reconnaissable au rendu incisé de ses côtes. "
1259;"Six fragments, dont quatre recollent par groupe de deux, d'une oinochoé élancée ou d'une olpé. Diam. sous les écailles : 12 cm. A 4299. Pl. X. Le col se termine par une moulure comme sur 14. Il est décoré d'une tresse agrémentée d'un œil et d'une demi palmette. Des rehauts rouges ornent l'entrelacs verni médian et les pétales extrêmes de la demi palmette. La frise animalière la plus haute a conservé, au milieu d'un remplissage très touffu, les pattes d'un sanglier vers la gauche et les restes d'un animal illisible sous une rosette dont la périphérie est décorée de demi-cercles incisés, dans la tradition attico-corinthienne. Entre des filets triples, une zone secondaire d'écailles de taille irrégulière, incisées à la main, sépare les deux registres figurés. Au centre des écailles, un point blanc ou rouge alterne sans grande régularité. De la seconde frise animalière, on ne voit que les restes d'une aile sur le fragment jointif. Les autres fragments ont conservé une tête de sphinx (?) vers la droite, une grosse rosette de remplissage, incisée de cercles et de demi-cercles et les restes d'un autre animal, à droite. "
1260;"Dix fragments dont neuf recollent par groupes de cinq et de deux (deux fois). Diam. max. restitué de la vasque : env. 26 cm. Ép. de la paroi : 7 mm. Argile chamois. Pas de couverte, mais un lissage. A 4289. Pl. X. Le col est verni. Le départ de l'épaule est décoré de godrons au feston inachevé, caractéristiques du peintre. Les languettes sont vernies, parfois rehaussées de rouge (la troisième et la huitième à partir de la gauche), parfois laissées réservées (la cinquième et la dixième à partir de la gauche) ou encore décorées de peinture blanche (la première et la sixième à partir de la droite). Sur l'épaule et la panse, sont conservés au moins deux animaux, dont les proportions imposantes montrent que le peintre ne s'est pas limité au décor en zones étroites. Sur le grand fragment, un lion dont la tête est tournée vers la gauche est reconnaissable à son oreille en cœur et au contour horizontal de sa gueule ouverte, incisée et rehaussée de rouge. Un fragment flottant conserve le corps d'un animal vers la droite : d'après la mèche incisée de sa crinière, rehaussée de rouge, il pourrait s'agir d'un second lion orienté en sens contraire ou du même retournant la tête en arrière. Un autre fragment conserve le buste rehaussé de rouge d'un sphinx (ou d'une sirène), reconnaissable à la bordure de son aile, barrée d'incisions. Le contour de ses parotides est rendu par une incision tremblée, comme sur le cratère 24. Sur le dernier fragment, il pourrait s'agir d'une figure humaine portant un vêtement dont une partie est rehaussée de rouge. Ce compartiment est séparé de la zone vernie par une file de petits points blancs entre deux incisions et une incision tremblée. Les deux traits souples, dont un rehaussé de rouge et bordé d'incisions, pourraient correspondre à la terminaison du cimier. La pièce, à première vue, est très différente du reste du groupe. L'absence de couverte conforterait son isolement, si le vase suivant ne portait un décor identique, associé à la couverte beige caractéristique. De plus, le type si particulier des godrons au feston inachevé confirme l'attribution. La qualité des incisions, nettes et assez profondes, est très comparable aux figures noires du groupe. Les incisions concentriques au-dessus de l'œil sont attestées sur le taureau de 23 : elles détaillent son sourcil et les poils de son encolure. Le même rendu du sourcil et la notation de l'angle de l'œil par un triangle incisé se retrouvent sur le taureau bien conservé de 21. La couleur d'un violet mat des rehauts et leur fréquence sont aussi attendues. La ligne du ventre du lion sur le fragment flottant est rehaussée de rouge et les incisions sinueuses, groupées par deux, sur son corps sont des détails qui se rencontrent sur 20-23 La façon de décorer la crinière d'un rehaut rouge et non d'incisions pour noter les mèches se retrouve sur les exemplaires réservés et sur le sanglier exécuté en figures noires (20). Enfin, le remplissage (petits points ou encore la tache rehaussée de rouge et incisée en haut du même fragment au lion) se rencontre fréquemment, notamment sur les lékanai à figures noires. Il est dommage qu'aucune patte n'ait été conservée pour permettre de juger de la disproportion du dessin. L'évolution du peintre s'explique par la vogue de nouveaux modèles. Le dessin de l'oreille et de l'œil rappelle de très près le style de Sophilos. D'autres peintres de l'atelier confirment la faveur des modèles attiques au tournant des deux premiers quarts du siècle. "
1261;"Un fragment d'épaule. Ht. : 7,5 cm. Ép. : 7 mm. Une couverte beige crème. A 4289. Pl. X. En haut de l'épaule, une zone de godrons. Deux espaces au moins entre les traits de séparation verticaux ont été laissés réservés, ce qui rappelle le vase précédent. La frise figurée présente un griffon vers la gauche. La curieuse flèche qui pointe au bout du nez, le cercle de la narine, les trois plis du museau, le dessin souple de la langue, l'oreille dressée et l'appendice oblique sur l'arrière du crâne rappellent de très près le griffon dessiné au trait du vase fermé 14. En face de lui, un motif se déchiffre grâce au parallèle fourni par la tête de lion du vase précédent : la crinière, rehaussée de rouge, est barrée par des incisions qui notent le contour d'une mèche et de l'oreille. "
1262;"Trois fragments de lékanai, dont deux recollent. Ht. du fragment à la panthère : 6,7 cm. Ép. : 5 mm. Pas de couverte. A 4293. Pl. X. Sur le bord courbe sur lequel empiète la représentation figurée, une panthère face à un sanglier. Sur le second fragment, les restes d'une oreille de panthère (?) et une aile en faucille. Entre des filets triples, une zone de points alignés sur deux rangs. Sur la frise centrale, des pattes félines vers la droite. Sur la dernière frise, avant les arêtes, le corps d'un grand herbivore. Le masque de la panthère reste dans la tradition de 8. L'extension du décor figuré sur le bord et le remplissage de petits points, attesté sur le bol-cratère no 10, se retrouve sur le vase suivant. Cette composition débordante, unique dans l'atelier, se rencontre chez le Polos Painter, abondamment importé à Thasos. "
